dest,dist_ly,maneuver,eta,delta_eta_total,mf_over_m0,t_earth_yr,tau_ship_yr,burn_t_earth_s,authority,g3_t_rel,g3_tau_rel,g3_dist_rel
Sgr A*,26000.0,arrive,8.0,16.0,1.4251640827409352e-21,26000.005851829745,17.44405861400859,0.052333707466999516,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,1.3321459820702737e-16,0.0,0.0
Sgr A*,26000.0,arrive,12.0,24.0,5.380186160021138e-32,26000.00000196307,0.3194990423973674,2.857323933515501,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,1.3321462817962887e-16,0.0,2.6642925637937384e-16
Sgr A*,26000.0,roundtrip,0.1,0.4,0.301194211912202,521732.17887720745,519134.34337939764,7.034111860907105e-06,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,0.0,0.0,0.0
Sgr A*,26000.0,roundtrip,0.24,0.96,0.056134762834133725,220810.77939582616,214600.55987203808,1.7016027564637514e-05,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,0.0,0.0,0.0
Sgr A*,26000.0,roundtrip,0.5,2.0,0.0024787521766663585,112525.57751440996,99789.80706941706,3.659340717663715e-05,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,2.462430611378691e-16,0.0,0.0
Sgr A*,26000.0,roundtrip,1.0,4.0,6.14421235332821e-06,68277.83484596523,44247.74266844472,8.252735217549113e-05,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,0.0,0.0,0.0
Sgr A*,26000.0,roundtrip,2.0,8.0,3.775134544279098e-11,53940.3654778325,14337.46936813273,0.00025469271796915607,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,2.568451512888072e-16,0.0,1.3321462818968692e-16
Sgr A*,26000.0,roundtrip,3.0,12.0,2.3195228302435696e-16,52258.43081231184,5190.721622778787,0.0007034954496778394,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,1.325558490407583e-16,0.0,0.0
Sgr A*,26000.0,roundtrip,5.0,20.0,8.75651076269652e-27,52004.72180706501,700.7783031906414,0.005210847746774326,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,1.3320253286928732e-16,0.0,0.0
Sgr A*,26000.0,roundtrip,8.0,32.0,2.031092662734811e-42,52000.01170365949,34.88811722801718,0.10466741493399903,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,1.3321459820702737e-16,0.0,0.0
Sgr A*,26000.0,roundtrip,12.0,48.0,2.8946403116483003e-63,52000.00000392614,0.6389980847947349,5.714647867031002,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,1.3321462817962887e-16,0.0,2.6642925637937384e-16
M31 (Andromeda),2540000.0,flyby,0.1,0.1,0.7408182206817179,25484610.27592513,25357716.003532115,1.7585279652267762e-06,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,0.0,0.0,0.0
M31 (Andromeda),2540000.0,flyby,0.24,0.24,0.4867522559599717,10785757.301257662,10482411.96298032,4.2540068911593785e-06,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,1.6441619080881158e-16,0.0,0.0
M31 (Andromeda),2540000.0,flyby,0.5,0.5,0.22313016014842982,5496441.670896179,4874348.268390757,9.148351794159287e-06,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,1.6131828887142291e-16,0.0,0.0
M31 (Andromeda),2540000.0,flyby,1.0,1.0,0.049787068367863944,3335109.625168301,2161332.045727877,2.063183804387278e-05,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,0.0,0.0,0.0
M31 (Andromeda),2540000.0,flyby,2.0,2.0,0.0024787521766663585,2634779.390647972,700330.2345203294,6.367317949228902e-05,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,0.0,0.0,0.0
M31 (Andromeda),2540000.0,flyby,3.0,3.0,0.00012340980408667956,2552623.3512167707,253546.78695880974,0.00017587386241945985,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,1.736794746486786e-16,0.0,0.0
M31 (Andromeda),2540000.0,flyby,5.0,5.0,3.059023205018258e-07,2540230.642114329,34230.32480969628,0.0013027119366935814,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,1.7452678322401113e-16,0.0,0.0
M31 (Andromeda),2540000.0,flyby,8.0,8.0,3.775134544279098e-11,2540000.5716787516,1704.1503415216202,0.026166853733499758,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,1.7454259166653037e-16,0.0,0.0
M31 (Andromeda),2540000.0,flyby,12.0,12.0,2.3195228302435696e-16,2540000.000191777,31.21259875609174,1.4286619667577505,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,1.7454263093771843e-16,0.0,0.0
M31 (Andromeda),2540000.0,arrive,0.1,0.2,0.5488116360940264,25484610.27592513,25357716.003532115,3.5170559304535524e-06,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,0.0,0.0,0.0
M31 (Andromeda),2540000.0,arrive,0.24,0.48,0.23692775868212176,10785757.301257662,10482411.96298032,8.508013782318757e-06,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,1.6441619080881158e-16,0.0,0.0
M31 (Andromeda),2540000.0,arrive,0.5,1.0,0.049787068367863944,5496441.670896179,4874348.268390757,1.8296703588318574e-05,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,1.6131828887142291e-16,0.0,0.0
M31 (Andromeda),2540000.0,arrive,1.0,2.0,0.0024787521766663585,3335109.625168301,2161332.045727877,4.126367608774556e-05,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,0.0,0.0,0.0
M31 (Andromeda),2540000.0,arrive,2.0,4.0,6.14421235332821e-06,2634779.390647972,700330.2345203294,0.00012734635898457804,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,0.0,0.0,0.0
M31 (Andromeda),2540000.0,arrive,3.0,6.0,1.522997974471263e-08,2552623.3512167707,253546.78695880974,0.0003517477248389197,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,1.736794746486786e-16,0.0,0.0
M31 (Andromeda),2540000.0,arrive,5.0,10.0,9.357622968840175e-14,2540230.642114329,34230.324809696285,0.002605423873387163,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,1.7452678322401113e-16,0.0,0.0
M31 (Andromeda),2540000.0,arrive,8.0,16.0,1.4251640827409352e-21,2540000.5716787516,1704.1503415216241,0.052333707466999516,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,1.7454259166653037e-16,0.0,0.0
M31 (Andromeda),2540000.0,arrive,12.0,24.0,5.380186160021138e-32,2540000.000191777,31.21259875609786,2.857323933515501,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,1.7454263093771843e-16,0.0,0.0
M31 (Andromeda),2540000.0,roundtrip,0.1,0.4,0.301194211912202,50969220.55185026,50715432.00706423,7.034111860907105e-06,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,0.0,0.0,0.0
M31 (Andromeda),2540000.0,roundtrip,0.24,0.96,0.056134762834133725,21571514.602515325,20964823.92596064,1.7016027564637514e-05,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,1.6441619080881158e-16,0.0,0.0
M31 (Andromeda),2540000.0,roundtrip,0.5,2.0,0.0024787521766663585,10992883.341792358,9748696.536781514,3.659340717663715e-05,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,1.6131828887142291e-16,0.0,0.0
M31 (Andromeda),2540000.0,roundtrip,1.0,4.0,6.14421235332821e-06,6670219.250336602,4322664.091455754,8.252735217549113e-05,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,0.0,0.0,0.0
M31 (Andromeda),2540000.0,roundtrip,2.0,8.0,3.775134544279098e-11,5269558.781295944,1400660.4690406588,0.00025469271796915607,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,0.0,0.0,0.0
M31 (Andromeda),2540000.0,roundtrip,3.0,12.0,2.3195228302435696e-16,5105246.702433541,507093.5739176195,0.0007034954496778394,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,1.736794746486786e-16,0.0,0.0
M31 (Andromeda),2540000.0,roundtrip,5.0,20.0,8.75651076269652e-27,5080461.284228658,68460.64961939257,0.005210847746774326,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,1.7452678322401113e-16,0.0,0.0
M31 (Andromeda),2540000.0,roundtrip,8.0,32.0,2.031092662734811e-42,5080001.143357503,3408.3006830432482,0.10466741493399903,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,1.7454259166653037e-16,0.0,0.0
M31 (Andromeda),2540000.0,roundtrip,12.0,48.0,2.8946403116483003e-63,5080000.000383554,62.42519751219572,5.714647867031002,燃料[R] 時間[R-standard] バーンa[N]@x0=0.3,1.7454263093771843e-16,0.0,0.0
