profile,kind,angle,F_peak_geo,t_peak_R,t_span_R,c15_rel,g3_map_rel
mission_sgr_arrive_eta1.0,mission,dest,0.24659795413819555,7.700010407743042e+16,7.700010407743042e+16,4.4519273230429795e-16,0.0
mission_sgr_arrive_eta1.0,mission,side,0.04535915878119018,0.0,3.229790963645312e+17,4.4519273230429795e-16,0.0
mission_sgr_arrive_eta1.0,mission,depart,0.09071831756238036,0.0,5.68958088651632e+17,4.4519273230429795e-16,0.0
mission_sgr_arrive_eta12.0,mission,dest,14764.840852748175,18572081.08276192,18572086.345723547,0.0,2.2064399508091232e-15
mission_sgr_arrive_eta12.0,mission,side,0.04535915878119018,0.0,2.4597899230567277e+17,0.0,2.6018482066333774e-16
mission_sgr_arrive_eta12.0,mission,depart,0.09071831756238036,0.0,4.9195798459277344e+17,0.0,0.0
mission_sgr_arrive_eta2.0,mission,dest,0.6703227376690338,9178637402036878.0,9178637402036880.0,3.330689538339276e-16,2.178972664892688e-16
mission_sgr_arrive_eta2.0,mission,side,0.04535915878119018,0.0,2.551576296891377e+17,3.330689538339276e-16,0.0
mission_sgr_arrive_eta2.0,mission,depart,0.09071831756238036,0.0,5.011366219762385e+17,3.330689538339276e-16,1.2770968473151133e-16
mission_sgr_arrive_eta3.0,mission,dest,1.822126117008655,1222472130546207.0,1222472130546211.8,1.110223041533831e-16,0.0
mission_sgr_arrive_eta3.0,mission,side,0.04535915878119018,0.0,2.4720146441764698e+17,1.110223041533831e-16,0.0
mission_sgr_arrive_eta3.0,mission,depart,0.09071831756238036,0.0,4.931804567047478e+17,1.110223041533831e-16,0.0
mission_sgr_arrive_eta5.0,mission,dest,13.463792097903623,22335871992787.17,22335871992792.59,2.220446049250521e-16,1.7488683680048316e-16
mission_sgr_arrive_eta5.0,mission,side,0.04535915878119018,0.0,2.460013281590935e+17,2.220446049250521e-16,0.0
mission_sgr_arrive_eta5.0,mission,depart,0.09071831756238036,0.0,4.919803204461942e+17,2.220446049250521e-16,0.0
mission_sgr_arrive_eta8.0,mission,dest,270.42749330856554,55362583984.08828,55362583989.33873,0.0,0.0
mission_sgr_arrive_eta8.0,mission,side,0.04535915878119018,0.0,2.4597904764968458e+17,0.0,1.3009238106155028e-16
mission_sgr_arrive_eta8.0,mission,depart,0.09071831756238036,0.0,4.919580399367852e+17,0.0,0.0
mission_sgr_flyby_eta0.1,mission,dest,0.0,0.0,2.2220047693276861e+18,0.0,0.0
mission_sgr_flyby_eta0.1,mission,side,0.04535915878119018,0.0,2.467983761614787e+18,0.0,2.0745679447461253e-16
mission_sgr_flyby_eta0.1,mission,depart,0.09071831756238036,0.0,2.7139627539018875e+18,0.0,0.0
mission_sgr_flyby_eta0.24,mission,dest,0.0,0.0,7.985366423651039e+17,0.0,1.6029320786193345e-16
